Algorithm,Dim,win,NS,wordsim353,BAT1,BAT2,Bat3,win353
Word2Vec,25,2,1,11.1798,0.038444,0.214286,0.041706,11.3931
Word2Vec,25,2,7,20.4799,0.030933,0.0,0.022872,18.448700000000002
Word2Vec,25,2,20,19.4928,0.029536,0.285714,0.040145,17.6291
Word2Vec,25,7,1,17.7675,0.036335,0.0,0.027178,14.7544
Word2Vec,25,7,7,26.676499999999997,0.013776,0.357143,0.028916,22.212200000000003
Word2Vec,25,7,20,26.159900000000004,0.065022,0.142857,0.046095,21.6531
Word2Vec,25,15,1,24.2745,0.042698,0.285714,0.02993,20.2087
Word2Vec,25,15,7,30.378800000000002,0.025364,0.214286,0.028252,26.815
Word2Vec,25,15,20,31.1809,0.039346,0.285714,0.033833,26.985300000000002
Word2Vec,100,2,1,14.4829,0.016674,0.214286,0.037928,14.2838
Word2Vec,100,2,7,24.637700000000002,0.041672,0.071429,0.051019,26.022499999999997
Word2Vec,100,2,20,24.8101,0.044595,0.142857,0.051111,26.359500000000004
Word2Vec,100,7,1,18.8615,0.044195,0.428571,0.048863,17.8108
Word2Vec,100,7,7,29.857400000000002,0.034832,0.285714,0.047485,26.9667
Word2Vec,100,7,20,29.4574,0.064445,0.142857,0.046102,26.526699999999998
Word2Vec,100,15,1,25.2052,0.025343,0.214286,0.02559,21.3695
Word2Vec,100,15,7,33.616800000000005,0.027114,0.214286,0.038739,28.0621
Word2Vec,100,15,20,34.931,0.051172,0.071429,0.039918,30.2284
Word2Vec,300,2,1,13.5353,0.033172,0.071429,0.043181,13.7348
Word2Vec,300,2,7,23.491600000000002,0.041551,0.142857,0.044041,26.114500000000003
Word2Vec,300,2,20,24.351200000000002,0.034834,0.285714,0.048018,27.692
Word2Vec,300,7,1,18.601100000000002,0.065131,0.285714,0.04509,17.5868
Word2Vec,300,7,7,29.662300000000002,0.069099,0.142857,0.048419,27.1679
Word2Vec,300,7,20,29.9219,0.067943,0.285714,0.055443,27.7928
Word2Vec,300,15,1,24.8447,0.027385,0.142857,0.017234,20.8508
Word2Vec,300,15,7,33.574799999999996,0.056558,0.214286,0.046056,28.338
Word2Vec,300,15,20,34.4403,0.072391,0.142857,0.050918,29.8263
